API,Lat27,Long27,Lat83,Long83,Lease_Name,Well_No,Well_Type
33500119,32.5111281,-101.0365359,32.5112418,-101.03693213,BOYKIN GRACE M.,1,SHUT IN
33510327,32.5070706,-101.0370584,32.50718441,-101.03745459,COLEMAN LUCY M.,4,PRODUCING
33530519,32.5069278,-101.0407348,32.50704161,-101.04113108,COLEMAN LUCY M.,10,INJECTION
33530520,32.5013833,-101.0319728,32.50149729,-101.03236877,COLEMAN LUCY M.,12,SHUT IN
33530539,32.4975972,-101.0351719,32.4977113,-101.03556791,COLEMAN LUCY M.,16,PRODUCING
33530540,32.4996151,-101.0342829,32.49972913,-101.03467891,COLEMAN LUCY M.,17,INJECTION
33530541,32.4976315,-101.0369557,32.49774559,-101.03735175,COLEMAN LUCY M.,15,INJECTION
33530596,32.5037894,-101.0289198,32.50390333,-101.02931573,COLEMAN LUCY M.,24,SHUT IN
33530600,32.4976986,-101.0336951,32.4978127,-101.03409107,COLEMAN LUCY M.,22,PRODUCING
33530601,32.4965412,-101.0307014,32.49665535,-101.03109728,COLEMAN LUCY M.,  32D ,SHUT IN
33530660,32.4992518,-101.0274628,32.49936587,-101.02785862,COLEMAN LUCY M.,26,SHUT IN
33530750,32.5016087,-101.0285705,32.50172269,-101.02896639,COLEMAN LUCY M.,34,PRODUCING
33530815,32.5022955,-101.0271445,32.50240948,-101.02754036,COLEMAN LUCY M.,33,SHUT IN
33531420,32.5128634,-101.0363603,32.51297706,-101.03675655,BOYKIN -B-,2,PRODUCING
33531441,32.5067144,-101.0223728,32.50682827,-101.02276859,COLEMAN LUCY M.,18,PRODUCING
33531465,32.4978094,-101.0341125,32.49792349,-101.03450848,COLEMAN LUCY M.,35,PRODUCING
33531512,32.4972923,-101.0296569,32.49740642,-101.03005276,COLEMAN LUCY M.,27,SHUT IN
33531552,32.5090727,-101.0405453,32.50918645,-101.04094161,COLEMAN LUCY M.,36,SHUT IN
33532418,32.4945586,-101.0324775,32.49467281,-101.0328734,COLEMAN LUCY M.,83,PRODUCING
33534210,32.50061756,-101.0369701,32.50073159,-101.03736619,COLEMAN LUCY M.,   1WS,SHUT IN
33535951,32.508859,-101.034365,32.508859,-101.034365,COLEMAN LUCY M.,20,SHUT IN
